File,Aktual,Prediksi,Status,Aspect Ratio,Circularity,Solidity
Vizorlu-Is-Guvenligi-Kaski-Fiyati-_-Haibrag-4-_jpg.rf.Ebk8w7nFpYH1lA6N0Dtu.jpg,Helm,Helm,BENAR,0.75,0.59,0.86
YESIL-BARET-IS-BARETI-GE-1536-Nitrex-Is__jpeg_jpg.rf.I7rFY8jV30p1kH6PRktX.jpg,Helm,Helm,BENAR,0.95,0.7,0.94
Yuksek-Kalite-ABS-Taktik-Acik-Bisiklet-Surme-Kask_y_jpg.rf.8gWQEo7WrhAj1gsB2Wma.jpg,Helm,Helm,BENAR,0.79,0.48,0.85
Yuksek-Kalite-ABS-Taktik-Acik-Bisiklet-Surme-Kask_y_jpg.rf.rOPwgy2K6200pseJBMkd.jpg,Helm,Helm,BENAR,0.79,0.49,0.85
Yuksekte-Calisma-Dagci-ve-Is-Guvenligi-Kaski-1-_jpg.rf.nMRayVF4eBlx2d3xIa8F.jpg,Helm,Helm,BENAR,1.03,0.31,0.66
Yuksekte-Calisma-Dagci-ve-Is-Guvenligi-Kaski-2-_jpg.rf.59gI9Xgb87QpXwxYOXwd.jpg,Helm,Helm,BENAR,1.16,0.65,0.94
Yumru-sapka-emniyet-kaski-Is-Guvenligi-Sapka-Nefes__jpg.rf.S1mv5MBChtGMwv6BjG3c.jpg,Helm,Helm,BENAR,1.69,0.42,0.85
Zorlu-Enerji_ye-Uluslararasi-Is-Guvenligi-Odulu-verildi_jpg.rf.2a8u4HXWsqoALzUK3jgl.jpg,Helm,Helm,BENAR,0.98,0.31,0.69
dataset202259-1-_jpg.rf.77983b4b6d72e7b6e81e0688fd8086bf.jpg,Kacamata,Helm,SALAH,1.49,0.23,0.71
safety_goggles_30_jpeg.rf.502c50690a9db3d0eef16755a67922f3.jpg,Kacamata,Helm,SALAH,1.82,0.26,0.69
safety_goggles_30_jpeg_jpg.rf.15d132d4204282577610f18563136766.jpg,Kacamata,Helm,SALAH,1.82,0.26,0.69
safety_goggles_38_jpeg.rf.b84172cc9347fe8154ccccb555f41f30.jpg,Kacamata,Kacamata,BENAR,3.21,0.12,0.37
safety_goggles_38_jpeg_jpg.rf.f5fb14901945defe04fcc5d1a731f864.jpg,Kacamata,Kacamata,BENAR,3.21,0.12,0.37
safety_goggles_4_jpeg.rf.2fc1f52592db647c2ac6db98041f4877.jpg,Kacamata,Helm,SALAH,1.91,0.26,0.74
safety_goggles_4_jpeg_jpg.rf.a22b526913c2e34b22df7316f43b3a2e.jpg,Kacamata,Helm,SALAH,1.91,0.26,0.74
safety_goggles_50_png.rf.1c7ed1acdb6dc94ba6c38a906c6ef789.jpg,Kacamata,Kacamata,BENAR,2.55,0.11,0.3
safety_goggles_50_png_jpg.rf.b3d34b726d4404caa5291df36d1ef5db.jpg,Kacamata,Kacamata,BENAR,2.55,0.11,0.3
safety_goggles_58_jpeg.rf.88be903f30ba5bc0e01dd5a257944e61.jpg,Kacamata,Helm,SALAH,1.89,0.64,0.96
safety_goggles_58_jpeg_jpg.rf.eda551142a9e0194a7069df7623195da.jpg,Kacamata,Helm,SALAH,1.89,0.64,0.96
safety_goggles_original_safety_goggles_16-jpeg_e7ae4c52-1ef7-490a-b4f9-0b7c1a249b06_jpeg.rf.a259a88011252c48bd783d0836b2d222.jpg,Kacamata,Kacamata,BENAR,3.56,0.13,0.41
safety_goggles_original_safety_goggles_16-jpeg_e7ae4c52-1ef7-490a-b4f9-0b7c1a249b06_jpeg_jpg.rf.1942dd8fd9bbd62a2ec5adcaaff02f2e.jpg,Kacamata,Kacamata,BENAR,3.56,0.13,0.41
safety_goggles_original_safety_goggles_48-jpeg_63d65541-5816-4cd3-a804-02f6aa226d8d_jpeg.rf.9340cb228decd1f5568e3633742fef0e.jpg,Kacamata,Helm,SALAH,1.86,0.68,0.96
safety_goggles_original_safety_goggles_48-jpeg_63d65541-5816-4cd3-a804-02f6aa226d8d_jpeg_jpg.rf.05e25969dbb4f65f7c339b37d0714036.jpg,Kacamata,Helm,SALAH,1.86,0.68,0.96
safety_goggles_original_safety_goggles_49-jpeg_b60aa1a3-51e4-4cc8-ae5a-7f818c53213a_jpeg.rf.5f7494bdc8b0a02fd92c6ad7ebbf5e54.jpg,Kacamata,Helm,SALAH,1.89,0.63,0.96
safety_goggles_original_safety_goggles_49-jpeg_b60aa1a3-51e4-4cc8-ae5a-7f818c53213a_jpeg_jpg.rf.e1fea3d558ad81d17da7c81c3deb93a0.jpg,Kacamata,Helm,SALAH,1.89,0.63,0.96
safety_goggles_original_safety_goggles_58-jpeg_961ea11e-59ff-43de-bdb6-7ed1dd847db9_jpeg.rf.37b164aabe05863de015dd49ae746d02.jpg,Kacamata,Helm,SALAH,1.89,0.64,0.96
safety_goggles_original_safety_goggles_58-jpeg_961ea11e-59ff-43de-bdb6-7ed1dd847db9_jpeg_jpg.rf.db75a1652b2600fa4648933ac7c4ce90.jpg,Kacamata,Helm,SALAH,1.89,0.64,0.96
safety_goggles_original_safety_goggles_62-jpeg_a58cf8b4-37fa-4bed-983b-c1404f3dac6c_jpeg.rf.e9685621914d03bb082f2d7f1f20575e.jpg,Kacamata,Helm,SALAH,1.09,0.78,0.98
safety_goggles_original_safety_goggles_62-jpeg_a58cf8b4-37fa-4bed-983b-c1404f3dac6c_jpeg_jpg.rf.5ad7e5ec48438f87f8911a6a9ff77bad.jpg,Kacamata,Helm,SALAH,1.09,0.78,0.98
